Modelo,RMSE,MAE,MAPE
Holt-Winters,"12.174.909,68","10.199.525,39","5,64"
ARIMA,"15.052.083,02","12.806.432,88","7,19"
Redes Neurais,"17.139.832,37","13.593.191,02","7,40"
