Modelo,RMSE,MAE,MAPE
Redes Neurais,"2.934.237,60","2.420.982,46","71,34"
Holt-Winters,"2.433.564,50","1.566.153,34","42,09"
ARIMA,"1.881.508,09","989.146,52","21,83"
