Modelo,RMSE,MAE,MAPE
Redes Neurais,"454.060.476,78","355.490.829,88","7,69"
ARIMA,"269.816.276,38","211.352.138,54","4,83"
Holt-Winters,"212.576.662,21","189.502.771,15","4,47"
