Modelo,RMSE,MAE,MAPE
Redes Neurais,"141.224.877,86","125.635.996,79","10,94"
ARIMA,"78.112.315,29","62.553.748,08","5,25"
Holt-Winters,"75.392.151,97","62.990.543,29","5,55"
