Modelo,RMSE,MAE,MAPE
Holt-Winters,"183.962.138,14","161.447.095,28","4,31"
Redes Neurais,"180.247.556,97","156.232.009,05","4,15"
ARIMA,"150.552.194,01","117.390.754,69","3,13"
