Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"3.093.743.526,04","3.085.916.467,52","3.261.805.031,86"
2025-10,"3.215.232.860,96","3.191.444.165,31","3.281.886.888,28"
2025-11,"3.418.853.283,31","3.218.800.253,73","3.292.748.952,84"
2025-12,"3.738.456.980,58","3.536.839.347,54","3.288.579.418,39"
2026-01,"3.261.650.491,09","3.294.085.839,57","3.276.773.334,55"
2026-02,"3.497.476.176,32","3.505.561.757,95","3.281.093.296,28"
2026-03,"3.280.420.301,54","3.312.843.774,73","3.278.878.157,20"
2026-04,"3.307.770.080,64","3.442.749.810,56","3.284.591.704,33"
2026-05,"3.545.829.109,79","3.467.730.604,10","3.286.660.311,29"
2026-06,"3.431.482.118,66","3.530.888.288,46","3.281.778.844,03"
2026-07,"3.384.398.881,30","3.405.877.655,42","3.283.315.576,48"
2026-08,"3.760.860.983,54","3.941.662.359,59","3.287.244.074,86"
