Modelo,RMSE,MAE,MAPE
ARIMA,"35.377.101,28","26.556.882,22","18,92"
Holt-Winters,"40.495.428,55","30.036.827,33","20,70"
Redes Neurais,"55.044.459,66","39.929.909,10","27,09"
