Modelo,RMSE,MAE,MAPE
Holt-Winters,"72.956.849,15","66.388.823,73","8,94"
ARIMA,"81.261.973,10","69.423.865,68","9,74"
Redes Neurais,"89.992.376,71","81.315.628,92","11,15"
