Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"-291.083,64","-3.387.334,00","20.922.689,93"
2025-10,"-3.014.953,73","-3.762.356,73","22.319.496,32"
2025-11,"7.744.480,45","10.058.626,50","23.266.135,62"
2025-12,"29.655.776,17","18.358.872,56","23.778.571,75"
2026-01,"9.818,63","-297.454,18","23.971.692,38"
2026-02,"4.410.029,39","1.750.585,38","24.424.527,13"
2026-03,"5.023.966,74","2.328.956,81","24.985.032,81"
2026-04,"681.038,38","1.792.744,39","25.657.145,41"
2026-05,"2.192.632,03","1.107.505,24","26.332.459,21"
2026-06,"1.619.871,22","1.967.413,54","26.771.595,24"
2026-07,"369.712,56","2.090.694,27","27.257.925,64"
2026-08,"1.220.656,50","3.540.759,86","27.753.546,08"
