Modelo,RMSE,MAE,MAPE
ARIMA,"10.651.889,45","10.180.377,91","75,63"
Holt-Winters,"12.181.991,01","11.217.799,46","84,62"
Redes Neurais,"15.977.081,38","15.645.020,22","113,84"
