Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),109984492.69920588,"109.984.492,70"
MAE (Mean Absolute Error),86211376.91139965,"86.211.376,91"
MAPE (Mean Absolute % Error),13.22773782238448,"13,23"
