Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),99064422.60472171,"99.064.422,60"
MAE (Mean Absolute Error),80291405.12366097,"80.291.405,12"
MAPE (Mean Absolute % Error),3.7584908178414036,"3,76"
