Modelo,RMSE,MAE,MAPE
Redes Neurais,"320.490.292,65","265.490.702,99","10,69"
ARIMA,"219.417.496,08","185.646.684,26","7,53"
Holt-Winters,"174.845.921,82","140.748.984,66","5,76"
