Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),96030281.53652108,"96.030.281,54"
MAE (Mean Absolute Error),78174705.64331873,"78.174.705,64"
MAPE (Mean Absolute % Error),5.269526389170249,"5,27"
