Modelo,RMSE,MAE,MAPE
ARIMA,"189.232.174,40","145.547.381,12","6,13"
Redes Neurais,"267.663.805,05","239.557.239,38","9,39"
Holt-Winters,"273.833.098,50","236.090.337,54","9,79"
